name,energy (kcal/kJ),water (g),protein (g),total fat (g),carbohydrates (g),fiber (g),sugars (g),calcium (mg),iron (mg),magnessium (mg),phosphorus (mg),potassium (mg),sodium (g),vitamin A (IU),vitamin C (mg),vitamin B1 (mg),vitamin B2 (mg),viatmin B3 (mg),vitamin B5 (mg),vitamin B6 (mg),vitamin E (mg)
Peas,81/339,78.86,5.42,0.4,14.45,5.1,5.67,25,1.47,33,108,244,5,765,40,0.266,0.132,2.09,0.104,0.169,0.13
Peanuts,585/2448,1.55,23.68,49.66,21.51,8,4.18,54,2.26,176,358,658,6,0,0,0.438,0.098,13.525,1.395,0.256,6.93
Pinto beans,143/600,62.95,9.01,0.65,26.22,9,0.34,46,2.09,50,147,436,1,0,0.8,0.193,0.062,0.318,0.21,0.229,0.94
Soybeans,173/725,62.55,16.64,8.97,9.93,6,3,102,5.14,86,245,515,1,9,1.7,0.155,0.285,0.399,0.179,0.234,0.35
Asparagus22/94,92.63,2.4,0.22,4.11,2,1.3,23,0.91,14,54,224,14,1006,7.7,0.162,0.139,1.084,0.225,0.079,1.5
Celeriac,42/176,88,1.5,0.3,90.2,1.8,1.6,43,0.7,20,115,300,100,0,8,0.05,0.06,0.7,0.352,0.165,0.36
Celery,16/67,95.43,0.69,0.17,2.97,1.6,1.83,40,0.2,11,24,260,80,449,3.1,0.021,0.057,0.32,0.246,0.074,0.27
Garlic,149/623,58.58,6.36,0.5,33.06,2.1,1,181,1.7,25,153,401,17,9,31.2,0.2,0.11,0.7,0.596,1.235,0.08
Fennel,31/130,90.21,1.24,0.2,7.29,3.1,-,49,0.73,17,50,414,52,134,12,0.01,0.032,0.64,0.232,0.047,-
Kohlrabi,27/113,91,1.7,0.1,6.2,3.6,2.6,24,0.4,19,46,350,20,36,62,0.05,0.02,0.4,0.165,0.15,0.48
Leeks,61/255,83,1.5,0.3,14.15,1.8,3.9,59,2.1,28,35,180,20,1667,12,0.06,0.03,0.4,0.14,0.233,0.92
Onions,40/166,89.11,1.1,0.1,9.34,1.7,4.24,23,0.21,10,29,146,4,2,7.4,0.046,0.027,0.116,0.123,0.12,0.02
Spring onion,32/135,89.83,1.83,0.19,7.34,2.6,2.33,72,1.48,20,37,276,16,997,18.8,0.055,0.08,0.525,0.075,0.061,0.55
Shallots,72/302,79.8,2.5,0.1,16.8,-,-,37,1.2,21,60,334,12,1190,8,0.06,0.02,0.2,0.29,0.345,-
Beetroots,43/180,87.58,1.61,0.71,9.56,2.8,6.76,16,0.8,23,40,325,78,33,4.9,0.031,0.04,0.334,0.155,0.067,0.04
Carrots,41/173,88.29,0.93,0.24,9.58,2.8,4.74,33,0.3,12,35,320,69,16706,5.9,0.066,0.058,0.983,0.273,0.138,0.66
Ginger,80/333,78.89,1.82,0.75,17.77,2,1.7,16,0.6,43,34,415,13,0,5,0.025,0.034,0.75,0.203,0.16,0.26
Parsnips,71/229,80.24,1.32,0.3,17.01,3.6,4.8,37,0.58,29,69,367,10,0,13,0.083,0.051,0.724,0.588,0.093,1
Potatoes,86/360,77.46,1.71,0.1,20.01,1.8,0.85,8,0.31,20,40,328,5,3,7.4,0.098,0.019,1.312,0.509,0.269,0.01
Radishes,16/66,95.27,0.68,0.1,3.4,1.6,1.86,25,0.34,10,20,233,39,7,14.8,0.012,0.039,0.254,0.165,0.071,0
Sweet Potato,76/320,80.13,1.37,0.14,17.72,2.5,5.74,27,0.72,18,32,230,27,15740,12.8,0.056,0.047,0.538,0.581,0.165,0.94
Turnips,28/117,91.87,0.9,0.1,6.43,1.8,3.8,30,0.3,11,27,191,67,0,21,0.04,0.03,0.4,0.2,0.09,0.03
Wasabi,109/456,69.11,4.8,0.63,23.54,7.8,-,128,1.03,69,80,568,17,35,41.9,0.131,0.114,0.743,0.203,0.274,-
Yam,116/486,70.13,1.49,0.14,27.48,3.9,0.49,14,0.52,18,49,670,8,122,12.1,0.095,0.028,0.552,0.311,0.228,0.34
